"Time","value"
1706346627962,104634
1706346628056,104777
1706346628150,104901
1706346628244,104718
1706346628338,105098
1706346628432,105255
1706346628527,105099
1706346628620,104213
1706346629014,105015
1706346629107,104930
1706346629201,104766
1706346629295,104813
1706346629388,104878
1706346629482,104946
1706346629576,105019
1706346629670,104272
1706346629765,104664
1706346629858,105080
1706346629952,104665
1706346630046,104636
1706346630140,104772
1706346630234,104885
1706346630328,105330
1706346630421,105193
1706346630515,103970
1706346630609,104184
1706346630704,104960
1706346630797,104919
1706346630891,104714
1706346630985,104443
1706346631079,104788
1706346631173,105414
1706346631267,105386
1706346631361,104925
1706346631455,104393
1706346631548,104322
1706346631643,104795
1706346631737,104998
1706346631830,104660
1706346631924,104890
1706346632018,105192
1706346632112,104796
1706346632206,104472
1706346632300,104729
1706346632394,104631
1706346632488,104554
1706346632582,104671
1706346632676,104672
1706346632770,104603
1706346632863,104725
1706346632957,104865
1706346633051,104806
1706346633145,104720
1706346633239,104888
1706346633333,105281
1706346633427,105103
1706346633521,104410
1706346633845,104719
1706346633938,105040
1706346634033,104906
1706346634127,104988
1706346634221,105205
1706346634315,104951
1706346634408,104279
1706346634502,104452
1706346634596,104982
1706346634690,105025
1706346634784,105017
1706346634878,105364
1706346634972,105079
1706346635066,104731
1706346635160,103980
1706346635254,104288
1706346635348,104702
1706346635442,103393
1706346635536,104155
1706346635629,104731
1706346635723,103762
1706346635817,100994
1706346635911,103635
1706346636005,107051
1706346636099,105520
1706346636193,104052
1706346636287,104393
1706346636381,103826
1706346636475,103358
1706346636569,102614
1706346636662,103368
1706346636757,102677
1706346636850,101126
1706346636945,102563
1706346637038,105341
1706346637132,107195
1706346637226,106078
1706346637320,105504
1706346637414,105788
1706346637508,105887
1706346637602,105587
1706346637696,105222
1706346637789,106218
1706346637884,107735
1706346637978,106501
1706346638071,103759
1706346638165,103222
1706346638259,103867
1706346638353,104447
1706346638677,104695
1706346638772,105792
1706346638865,105322
1706346638959,104425
1706346639053,103448
1706346639147,104835
1706346639241,105877
1706346639334,104315
1706346639428,104009
1706346639522,104589
1706346639616,104070
1706346639710,104928
1706346639804,105476
1706346639898,105080
1706346639992,104806
