"Time","value"
1706401909187,105135
1706401909281,105224
1706401909375,105184
1706401909469,105010
1706401909563,104943
1706401909657,105024
1706401909750,105115
1706401909844,105359
1706401909938,105553
1706401910032,105704
1706401910126,106060
1706401910220,106724
1706401910314,107431
1706401910408,105979
1706401910501,100711
1706401910596,100006
1706401910689,105400
1706401910783,106523
1706401910878,105062
1706401910971,103850
1706401911065,103724
1706401911159,105384
1706401911253,104452
1706401911347,103394
1706401911441,105644
1706401911535,107682
1706401911628,105531
1706401911723,102403
1706401911816,103704
1706401911910,105679
1706401912004,105109
1706401912099,105152
1706401912193,106333
1706401912286,105222
1706401912380,101778
1706401912474,103158
1706401912568,106462
1706401912661,107717
1706401912756,106384
1706401912849,104510
1706401912943,104181
1706401913037,105023
1706401913131,105640
1706401913225,105582
1706401913319,105277
1706401913413,105247
1706401913507,105529
1706401913601,105197
1706401913695,104512
1706401913788,104242
1706401913882,104100
1706401913976,103956
1706401914070,103855
1706401914164,104923
1706401914258,105766
1706401914352,106281
1706401914446,106150
1706401914540,105861
1706401914633,106129
1706401914727,105480
1706401914821,104566
1706401915261,105453
1706401915355,105401
1706401915448,104252
1706401915543,105589
1706401915636,105758
1706401915730,103642
1706401915824,105514
1706401915918,105573
1706401916012,104431
1706401916106,105457
1706401916200,105831
1706401916294,105573
1706401916388,104544
1706401916482,104600
1706401916575,104871
1706401916669,105114
1706401916763,105052
1706401916857,104916
1706401916952,104895
1706401917045,105398
1706401917139,104916
1706401917233,105052
1706401917327,105675
1706401917421,105524
1706401917515,104554
1706401917609,103816
1706401917702,104563
1706401917796,105953
1706401917890,105864
1706401917984,105295
1706401918078,105842
1706401918172,106145
1706401918266,105774
1706401918360,104439
1706401918454,104349
1706401918548,106396
1706401918641,105037
1706401918735,104893
1706401918830,104725
1706401918923,104533
1706401919017,104484
1706401919111,103932
1706401919205,104787
1706401919299,105055
1706401919393,103786
1706401919487,105394
1706401919581,104797
1706401919675,105034
1706401919768,107058
1706401919862,102108
1706401919956,104706
1706401920050,106987
1706401920144,102905
1706401920238,105776
1706401920332,106202
1706401920426,101907
1706401920773,105315
1706401920867,105965
1706401920961,105391
1706401921055,105170
1706401921149,105846
1706401921243,105008
1706401921337,105155
1706401921431,105177
1706401921524,104251
1706401921619,105327
1706401921712,105918
1706401921806,105107
1706401921900,105687
1706401921994,106828
1706401922088,106757
1706401922182,105945
1706401922276,104192
1706401922369,104038
1706401922464,104138
1706401922557,105377
1706401922651,104578
1706401922745,102623
1706401922839,107884
1706401922934,103645
1706401923027,102231
1706401923121,109277
1706401923215,103892
1706401923309,104001
1706401923403,108327
1706401923497,103177
1706401923591,104735
1706401923685,108482
1706401923779,103578
1706401923873,102788
1706401923966,106608
1706401924060,105526
1706401924154,101160
1706401924248,103503
1706401924342,106130
1706401924436,105961
1706401924530,106039
1706401924624,106628
1706401924718,106795
1706401924811,105668
1706401924906,104498
1706401924999,104691
1706401925093,105696
1706401925187,106489
1706401925281,106594
1706401925375,103631
1706401925469,93853
1706401925563,87370
1706401925659,77245
1706401925751,66627
1706401925844,58774
1706401925938,52729
1706401926032,52377
1706401926127,52408
1706401926221,52405
1706401926314,52415
1706401926408,52425
1706401926502,52424
1706401926596,52414
1706401926690,52396
1706401926784,52393
1706401926878,52391
1706401926972,52389
1706401927065,52392
1706401927160,52402
1706401927253,52409
1706401927347,52411
1706401927441,52414
1706401927535,52417
1706401927629,52426
1706401927723,52447
1706401927817,52477
1706401927911,52484
1706401928005,52459
1706401928098,52448
1706401928192,52479
1706401928286,52517
1706401928380,52512
1706401928474,52482
1706401928982,52544
1706401929077,52537
1706401929170,52486
1706401929264,52429
1706401929358,52428
1706401929452,52470
1706401929546,52556
1706401929640,52800
1706401929734,52836
1706401929827,52455
1706401929921,52870
1706401930015,53072
1706401930109,52938
1706401930203,52674
1706401930297,52536
1706401930391,52621
1706401930485,52725
1706401930579,52555
1706401930672,53084
1706401930767,52219
1706401930860,52212
1706401930954,53033
1706401931049,52037
1706401931142,51947
1706401931236,52693
1706401931330,53057
1706401931424,52367
1706401931518,52262
1706401931612,52356
1706401931706,52433
1706401931799,52437
1706401931894,52411
1706401931987,52411
1706401932081,52414
1706401932175,52421
1706401932270,52424
1706401932364,52414
1706401932457,52426
1706401932551,52447
1706401932645,52450
1706401932739,52445
1706401932833,52448
1706401932927,52448
1706401933020,52435
1706401933114,52413
1706401933208,52444
1706401933302,52588
1706401933396,52770
1706401933490,52779
1706401933584,52668
1706401933678,52706
1706401933772,52782
1706401933866,52990
1706401933959,53081
1706401934053,52970
1706401934148,52869
1706401934241,53047
1706401934335,52986
1706401934429,53024
1706401934523,52639
1706401934617,52304
1706401934711,52183
1706401934805,52142
1706401934899,52643
1706401934993,52523
1706401935087,52399
1706401935181,52420
1706401935275,52417
1706401935368,52416
1706401935462,52415
1706401935556,52414
1706401935650,52414
1706401936136,52404
1706401936229,52400
1706401936323,52402
1706401936417,52405
1706401936511,52402
1706401936605,52401
1706401936699,52397
1706401936793,52404
1706401936887,52405
1706401936981,52404
1706401937075,52405
1706401937168,52405
1706401937262,52406
1706401937356,52408
1706401937450,52410
1706401937544,52407
1706401937638,52408
1706401937732,52407
1706401937826,52407
1706401937920,52410
1706401938014,52408
1706401938108,52404
1706401938202,52404
1706401938298,52404
1706401938389,52405
1706401938483,52406
1706401938577,52406
1706401938671,52406
1706401938765,52406
1706401938859,52405
1706401938953,52407
1706401939047,52407
1706401939141,52405
1706401939235,52406
1706401939328,52407
1706401939422,52407
1706401939516,52408
1706401939610,52409
1706401939704,52408
1706401939798,52404
1706401939892,52403
1706401939986,52404
1706401940080,52407
1706401940174,52407
1706401940268,52407
1706401940362,52403
1706401940455,52406
1706401940549,52406
1706401940644,52408
1706401940737,52405
1706401940831,52404
1706401940925,52406
1706401941019,52403
1706401941113,52406
1706401941207,52408
1706401941300,52410
1706401941394,52407
1706401941488,52407
1706401941582,52408
1706401941976,52407
1706401942070,52406
1706401942163,52406
1706401942258,52408
1706401942351,52405
1706401942445,52407
1706401942539,52404
1706401942633,52406
1706401942727,52406
1706401942821,52407
1706401942915,52409
1706401943008,52406
1706401943103,52404
1706401943196,52406
1706401943290,52407
1706401943384,52410
1706401943478,52410
1706401943572,52407
1706401943666,52407
1706401943760,52408
1706401943854,52409
1706401943948,52407
1706401944042,52405
1706401944136,52408
1706401944230,52410
1706401944323,52408
1706401944417,52408
1706401944511,52409
1706401944605,52407
1706401944699,52406
1706401944793,52410
1706401944887,52407
1706401944981,52408
1706401945075,52407
1706401945169,52410
1706401945262,52409
1706401945356,52404
1706401945450,52408
1706401945544,52406
1706401945638,52406
1706401945732,52409
1706401945826,52406
1706401945920,52407
1706401946014,52408
1706401946108,52406
1706401946202,52408
1706401946296,52407
1706401946390,52405
1706401946483,52409
1706401946577,52410
1706401946671,52404
1706401946765,52406
1706401946859,52408
1706401946953,52408
1706401947047,52409
1706401947141,52408
1706401947511,52406
1706401947605,52406
1706401947699,52408
1706401947793,52406
1706401947887,52406
1706401947980,52405
1706401948074,52404
1706401948168,52406
1706401948262,52406
1706401948356,52408
1706401948451,52406
1706401948544,52406
1706401948638,52407
1706401948732,52406
1706401948825,52407
1706401948920,52408
1706401949014,52409
1706401949108,52410
1706401949202,52405
1706401949296,52408
1706401949389,52410
1706401949483,52408
1706401949577,52408
1706401949671,52408
1706401949765,52409
1706401949859,52405
1706401949953,52405
1706401950047,52408
1706401950141,52406
1706401950234,52406
1706401950328,52407
1706401950422,52408
1706401950516,52409
1706401950610,52409
1706401950704,52407
1706401950798,52410
1706401950892,52408
1706401950986,52409
1706401951080,52412
1706401951174,52414
1706401951268,52414
1706401951362,52408
1706401951455,52404
1706401951549,52405
1706401951644,52411
1706401951737,52409
1706401951831,52408
1706401951925,52409
1706401952019,52409
1706401952113,52407
1706401952207,52407
1706401952300,52409
1706401952650,52406
1706401952742,52406
1706401952836,52407
1706401952930,52407
1706401953024,52406
1706401953118,52409
1706401953212,52410
1706401953306,52409
1706401953399,52408
1706401953493,52411
1706401953587,52407
1706401953681,52410
1706401953775,52411
1706401953869,52410
1706401953963,52408
1706401954057,52408
1706401954151,52410
1706401954245,52412
1706401954339,52410
1706401954433,52410
1706401954526,52411
1706401954621,52410
1706401954714,52408
1706401954808,52410
1706401954902,52409
1706401954996,52410
1706401955090,52409
1706401955184,52407
1706401955278,52409
1706401955371,52410
1706401955466,52410
1706401955559,52408
1706401955653,52409
1706401955747,52407
1706401955841,52410
1706401955935,52411
1706401956029,52407
1706401956123,52408
1706401956217,52409
1706401956311,52412
1706401956405,52412
1706401956498,52411
1706401956593,52410
1706401956686,52412
1706401956780,52413
1706401956874,52412
1706401956968,52410
1706401957062,52408
1706401957156,52408
1706401957250,52411
1706401957575,52411
1706401957667,52412
1706401957761,52412
1706401957855,52410
1706401957949,52411
1706401958043,52409
1706401958137,52412
1706401958231,52410
1706401958325,52412
1706401958419,52412
1706401958513,52411
1706401958607,52408
1706401958701,52408
1706401958794,52412
1706401958889,52413
1706401958982,52414
1706401959076,52411
1706401959170,52413
1706401959264,52411
1706401959358,52410
1706401959452,52408
1706401959546,52409
1706401959640,52407
1706401959733,52411
1706401959827,52415
1706401959921,52412
1706401960015,52414
1706401960109,52415
1706401960203,52414
1706401960297,52411
1706401960391,52409
1706401960485,52412
1706401960579,52415
1706401960673,52413
1706401960767,52411
1706401960861,52407
1706401960955,52412
1706401961049,52412
1706401961142,52409
1706401961236,52412
1706401961330,52412
1706401961424,52412
1706401961518,52410
1706401961612,52408
1706401961706,52413
1706401961800,52413
1706401961894,52411
1706401961988,52412
1706401962081,52411
1706401962406,52411
1706401962500,52411
1706401962594,52410
1706401962687,52409
